Year,Season,ID,TOPPID,DeployDate,DeployMass,DeployAdipose,DepartDate,DepartDaysOnShore,DepartMassCorrection,DepartCalcMass,DepartAdiposeCorr,DepartCalcAdipose,RecoverDate,RecoverMass,RecoverAdipose,ArrivalDate,ArrivalDaysOnShore,ArrivalMassCorrection,ArrivalCalcAdipose,ArrivalAdiposeCorr,ArrivalCalcMass,DaysAtSea,PupMass,CalcMassGain,MassGainRate,MassGainPercent,AdiposeGain,LeanGain,EnergyGain,EnergyGainRate,PercentAdiposeOfMassGain,TBGE,TBGEGainPercent,,,
2004,PB,R881,2004001,2/17/2004,289,0.298,2/23/2004 9:45,6.41,32.4,256.6,0.017,0.281,5/13/2004,288,0.268,5/7/04 23:00,5.04,13.609,0.271,0.003,301.609,75.55208333,NaN,45.036,0.596,0.176,9.571,35.465,563.808,7.463,0.213,4916.658,0.115,,,
2004,PB,W1095,2004003,2/19/2004,303,0.264,2/19/2004 0:00,0.00,0.0,303.0,0.000,0.264,5/13/2004,368,0.316,5/13/04 0:00,0.00,0.000,0.316,0.000,368.000,85,NaN,65.000,0.765,0.215,36.296,28.704,1466.896,17.258,0.558,5532.272,0.265,,,
2004,PB,O176,2004005,2/21/2004,285,0.302,2/23/2004 1:45,2.07,10.4,274.6,0.006,0.296,5/13/2004,355,0.338,5/13/04 18:45,-0.78,-2.507,0.338,0.000,352.493,81.70833333,NaN,77.876,0.953,0.284,37.629,40.246,1587.332,19.427,0.483,5291.694,0.300,,,
2004,PB,R445,2004007,2/24/2004,314,0.286,2/26/2004 8:40,2.36,6.8,307.2,0.006,0.280,5/16/2004,341,0.334,5/15/04 7:29,0.69,2.135,0.334,0.000,343.135,79.95069444,NaN,35.975,0.450,0.117,28.595,7.380,1058.999,13.246,0.795,5788.042,0.183,,,
2004,PM,L541,2004015,5/20/2004,303,0.309,5/22/2004 16:15,2.68,7.5,295.5,0.001,0.308,11/8/2004,432,0.397,11/6/04 13:00,1.46,10.153,0.405,0.008,442.153,168.8645833,0.0,146.685,0.869,0.496,88.003,58.682,3487.378,20.652,0.600,5748.540,0.607,,,
2004,PM,R589,2004017,5/21/2004,294,0.292,6/6/2004 7:00,16.29,44.7,249.3,0.009,0.283,1/29/2005,426,0.369,1/20/05 20:00,8.17,56.207,0.405,0.036,482.207,229.5416667,40.9,273.822,1.193,1.098,113.669,160.152,5039.724,21.956,0.415,4737.106,1.064,,,
2004,PM,R797,2004018,5/21/2004,280,0.335,5/29/2004 0:45,8.03,21.2,258.8,0.004,0.331,1/26/2005,432,0.342,1/17/05 3:15,8.86,61.717,0.375,0.033,493.717,234.1041667,41.5,276.379,1.181,1.068,89.633,186.746,4357.638,18.614,0.324,5214.314,0.836,,,
2004,PM,O448,2004020,5/22/2004,277,0.294,5/27/2004 12:30,5.52,14.4,262.6,0.003,0.291,1/20/2005,434,0.373,1/10/05 1:15,9.95,69.524,0.418,0.045,503.524,228.53125,41.7,282.628,1.237,1.076,122.262,160.367,5345.226,23.389,0.433,5003.426,1.068,,,
2004,PM,M141,2004021,5/22/2004,323,0.298,5/29/2004 20:15,7.84,23.3,299.7,0.004,0.294,1/19/2005,525,0.388,1/10/05 22:45,8.05,66.012,0.428,0.040,591.012,227.1041667,50.4,341.671,1.504,1.140,149.800,191.872,6519.882,28.709,0.438,5743.935,1.135,,,
2004,PM,L563,2004022,5/22/2004,290,0.309,5/29/2004 19:30,7.81,21.2,268.8,0.004,0.305,1/19/2005,459,0.343,1/11/05 1:45,7.93,58.034,0.373,0.030,517.034,227.2604167,44.1,292.305,1.286,1.087,100.301,192.004,4768.624,20.983,0.343,5229.512,0.912,,,
2004,PM,O401,2004023,5/23/2004,298,0.274,6/1/2004 2:30,9.10,25.3,272.7,0.005,0.269,1/20/2005,457,0.334,1/8/05 17:00,11.29,82.366,0.374,0.040,539.366,222.6041667,43.9,310.505,1.395,1.138,117.818,192.688,5392.990,24.227,0.379,5052.181,1.067,,,
2004,PM,O968,2004024,5/25/2004,315,0.305,5/27/2004 20:15,2.84,8.3,306.7,0.002,0.303,1/25/2005,540,0.374,1/16/05 20:00,8.17,68.580,0.411,0.037,608.580,234.9895833,51.8,353.679,1.505,1.153,142.751,210.928,6391.291,27.198,0.404,5935.207,1.077,,,
2004,PM,R736,2004025,5/28/2004,292,0.314,6/9/2004 12:30,12.52,34.2,257.8,0.007,0.307,1/27/2005,462,0.367,1/18/05 18:15,8.24,60.651,0.403,0.036,522.651,224.2395833,44.4,309.181,1.379,1.199,119.494,189.686,5433.299,24.230,0.386,5050.348,1.076,,,
2004,PM,R426,2004026,5/28/2004,320,0.258,6/13/2004 3:30,16.15,47.5,272.5,0.009,0.249,1/24/2005,518,0.346,1/15/05 16:15,8.32,67.458,0.378,0.032,585.458,217.53125,49.7,362.695,1.667,1.331,141.217,221.478,6403.940,29.439,0.389,4931.683,1.299,,,
2004,PM,R196,2004027,6/3/2004,286,0.291,6/10/2004 23:45,7.99,21.4,264.6,0.004,0.287,1/26/2005,451,0.383,1/19/05 20:45,6.14,44.265,0.413,0.030,495.265,223.875,43.3,274.006,1.224,1.036,116.263,157.743,5116.235,22.853,0.424,5020.347,1.019,,,
2004,PM,N525,2004028,6/3/2004,301,0.291,6/10/2004 2:15,7.09,19.8,281.2,0.004,0.287,1/21/2005,473,0.383,1/14/05 0:45,6.97,52.315,0.417,0.034,525.315,218.9375,45.4,289.572,1.323,1.030,125.097,164.475,5471.638,24.992,0.432,5335.304,1.026,,,
2004,PM,1595,2004029,6/3/2004,300,0.315,6/18/2004 18:30,15.77,44.0,256.0,0.009,0.306,2/7/2005,471,0.385,1/31/05 5:00,6.79,50.805,0.418,0.033,521.805,227.4375,45.2,311.030,1.368,1.215,126.691,184.338,5654.119,24.860,0.407,5021.302,1.126,,,
2004,PM,N354,2004030,6/3/2004,374,0.307,6/19/2004 18:30,16.77,56.2,317.8,0.009,0.298,2/6/2005,554,0.378,1/27/05 17:15,9.28,79.666,0.422,0.044,633.666,222.9479167,53.2,369.081,1.655,1.161,156.965,212.116,6901.960,30.958,0.425,6165.531,1.119,,,
2004,PM,R615,2004031,6/5/2004,297,0.29,6/15/2004 21:45,10.91,30.2,266.8,0.006,0.284,2/15/2005,478,0.391,2/8/2005 8:15,6.66,50.411,0.424,0.033,528.411,238.4375,45.9,307.484,1.290,1.152,134.973,172.511,5872.227,24.628,0.439,5056.131,1.161,,,
2004,PM,N513,2004032,6/5/2004,311,0.306,6/10/2004 18:15,5.76,16.6,294.4,0.003,0.303,2/3/2005,479,0.369,1/23/2005 11:45,10.51,79.741,0.416,0.047,558.741,227.7291667,46.0,310.281,1.362,1.054,130.064,180.217,5747.346,25.238,0.419,5705.100,1.007,,,
2004,PM,O284,2004033,6/5/2004,261,0.297,6/10/2004 18:15,5.76,14.4,246.6,0.003,0.294,2/1/2005,418,0.393,1/24/2005 12:45,7.47,50.609,0.431,0.038,468.609,228.7708333,40.1,262.104,1.146,1.063,117.370,144.734,5072.884,22.175,0.448,4719.593,1.075,,,
