FieldID,TOPPID,PTTID,AnimalID,DepartDate,DepartDateMethod,ArriveDate,ArriveDateMethod,DepartLat,DepartLon,ArriveLat,ArriveLon,DepartLoc,ArriveLoc,Season,BirthYear,DeploymentType,Comments,
M831,2002001,23100,NESE0008ANNU,2/26/2002 5:15,TDR,5/3/2002 17:45,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PB,1996,adult female,,
L268,2002002,22922,NESE0009ANNU,,,,,,,,,ANNU,,,1995,adult female,,
N410,2002003,25966,NESE0010ANNU,3/4/2002 20:15,PTT,3/15/2002 12:15,PTT,37.116396,-122.330756,,,ANNU,,PB,1997,adult female,,
L274,2002004,23105,NESE0011ANNU,3/3/2002 13:00,PTT,4/21/2002 1:00,PTT,,,,,ANNU,,PB,1995,adult female,,
M91,2002005,23106,NESE0012ANNU,,,,,,,,,ANNU,,,1995,adult female,,
O268,2002006,23100,NESE0013ANNU,6/22/2002 5:30,TDR,10/2/2003 4:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,1998,adult female,,
N513,2002007,22924,NESE0014ANNU,6/25/2002 11:00,TDR,2/2/2003 3:00,TDR,,,,,ANNU,,PM,1996,adult female,WRONG TRACK DATA!,
1907,2002008,23105,NESE0015ANNU,6/24/2002 21:00,TDR,1/23/2003 11:00,TDR,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,NaN,adult female,,
M 94,2002009,NaN,NESE0184ANNU,,,,,,,,,ANNU,,,1995,adult female,,
pm1,2003008,26341,NESE0088ANNU,6/20/2003 20:00,PTT,2/15/2004 19:45,PTT,37.116396,-122.330756,,,ANNU,,,NaN,adult female,,
pm2,2003009,13361,NESE0089ANNU,6/20/2003 10:00,PTT,1/29/2004 0:45,PTT,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,NaN,adult female,,
pm3,2003010,23103,NESE0090ANNU,6/24/2003 20:30,PTT,1/21/2004 11:45,PTT,37.116396,-122.330756,37.116396,-122.330756,ANNU,ANNU,PM,NaN,adult female,,
