SealID,TOPPID,SatTagManufacturer,SatTagType,SatTagID,SatTagPTT,SatTagQC,SatTagComment,TDR1Manufacturer,TDR1Type,TDR1ID,TDR1Loc,TDR1QC,TDR1Comments,TDR1Manufacturer,TDR2Type,TDR2ID,TDR2Loc,TDR2QC,TDR2Comments,TDR1Manufacturer,TDR3Type,TDR3ID,TDR3Loc,TDR3QC,TDR3Comment,Other1,Other1Loc,Other1Comment,Other2,Other2Loc,Other2Comment,Other3,Other3Loc,Other3Comment
R881,2004001,SMRU,,,37594,,,Wildlife Computers,Mk9,0390832,Back,,,,,,,,,,,,,,,HTR,,,STT,,,,,
R57,2004002,,,,28598,,No useable data,Wildlife Computers,Mk9,0390803,Back,,,,,,,,,,,,,,,HTR,,,STT,,,,,
W1095,2004003,,,,28600,,,Wildlife Computers,Mk9,0390678,Back,,,,,,,,,,,,,,,HTR,,,STT,,,,,
99AB,2004004,,,,525061,,,Wildlife Computers,Mk9,0390795,Back,,,,,,,,,,,,,,,HTR,,,STT,,,,,
O176,2004005,,,,29733,,,Wildlife Computers,Mk9,0490019,Back,,,,,,,,,,,,,,,HTR,,,STT,,,,,
R440,2004006,,,,14755,,,Wildlife Computers,Mk9,0290114,Back,,,,,,,,,,,,,,,HTR,,,,,,,,
R445,2004007,,,,13362,,,Lotek,,2310_B2276,,,,,,,,,,,,,,,,HTR,,,,,,,,
L541,2004015,Telonics,,29733,29733,,,Wildlife Computers,Mk9,0390832,Back,,,,,,,,,,,,,,,,,,,,,,,
M857,2004016,Telonics,,23103,23103,,,Wildlife Computers,Mk9,0490019,Back,,,,,,,,,,,,,,,,,,,,,,,
R589,2004017,Wildlife Computers,SPOT,,37598,,,Wildlife Computers,Mk9,0490122,Back,,,,,,,,,,,,,,,,,,,,,,,
R797,2004018,Telonics,,28600,28600,,,Wildlife Computers,Mk9,0490115,Back,,,,,,,,,,,,,,,,,,,,,,,
R131,2004019,Telonics,,13365,13365,,,Wildlife Computers,Mk9,0490154,Back,,,,,,,,,,,,,,,,,,,,,,,
O448,2004020,Wildlife Computers,SPOT,,37593,,,Wildlife Computers,Mk9,0490156,Back,,,,,,,,,,,,,,,,,,,,,,,
M141,2004021,Wildlife Computers,SPOT,,39455,,,Wildlife Computers,Mk9,0490157,Back,,,,,,,,,,,,,,,,,,,,,,,
L563,2004022,Wildlife Computers,SPOT,,37597,,,Wildlife Computers,Mk9,0490116,Back,,,,,,,,,,,,,,,,,,,,,,,
