TOPPID,Year,Season,SealID,FileName,SamplingFrequency,StartDate,StartTime,excelStartTime
2011020,2011,PB,1015,2011-PB_1015_Kami_Depth+Temp+Kami.txt,5,2/21/2011,10:05:00,40595.42014
2011018,2011,PB,3236,2011-PB_3236_Kami_Depth+Temp+Kami.txt,5,2/17/2011,12:14:00,40591.50972
2011017,2011,PB,M778,2011-PB_M778_Kami_Depth+Temp+Kami.txt,5,2/16/2011,10:50:00,40590.45139
2011019,2011,PB,T35,2011-PB_T35_Kami_Depth+Temp+Kami.txt,5,2/18/2011,10:39:00,40592.44375
2011020,2011,PB,1015,2011-PB_1015_Stroke_Depth+Stroke.txt,5,2/21/2011,10:09:00,40595.42292
2011019,2011,PB,T35,2011-PB_T35_Stroke_Depth+Stroke.txt,5,2/18/2011,10:38:00,40592.44306
2011016,2011,PB,T911,2011-PB_T911_Stroke_Depth+Stroke.txt,5,2/15/2011,11:55:00,40589.49653
2011043,2011,PM,T35,2011-PM_T35_Kami_Depth+Temp+Kami.txt,5,6/9/2011,0:00:00,40703
2011033,2011,PM,WX444,2011-PM_WX444_Kami_Depth+Temp+Kami.txt,5,5/29/2011,7:20:00,40692.30556
2011034,2011,PM,2036,2011-PM_2036_Stroke_Depth+Stroke.txt,5,5/30/2011,7:41:00,40693.32014
2011032,2011,PM,T730,2011-PM_T730_Stroke_Depth+Stroke.txt,5,5/27/2011,8:06:00,40690.3375
2011033,2011,PM,WX444,2011-PM_WX444_Stroke_Depth+Stroke.txt,5,5/29/2011,7:22:00,40692.30694
2012010,2012,PB,2024,2012-PB_2024_Kami_Depth+Temp+Kami.txt,5,2/6/2012,3:21:00,40945.13958
2012005,2012,PB,R382,2012-PB_R382_Kami_Depth+Temp+Kami.txt,5,2/2/2012,23:05:00,40941.96181
2012014,2012,PB,U239,2012-PB_U239_Kami_Depth+Temp+Kami.txt,5,2/14/2012,18:42:00,40953.77917
2012012,2012,PB,U627,2012-PB_U627_Kami_Depth+Temp+Kami.txt,5,2/10/2012,11:11:00,40949.46597
2012006,2012,PB,U954,2012-PB_U954_Kami_Depth+Temp+Kami.txt,5,2/3/2012,20:24:00,40942.85
2012010,2012,PB,2024,2012-PB_2024_Stroke_Depth+Stroke.txt,5,6/2/2012,3:22:00,40945.14028
2012005,2012,PB,R382,2012-PB_R382_Stroke_Depth+Stroke.txt,5,2/2/2012,23:04:00,40941.96111
2012009,2012,PB,U605,2012-PB_U605_Stroke_Depth+Stroke.txt,5,6/2/2012,3:36:00,40945.15
2012012,2012,PB,U627,2012-PB_U627_Stroke_Depth+Stroke.txt,5,10/2/2012,11:47:00,40949.49097
2012006,2012,PB,U954,2012-PB_U954_Stroke_Depth+Stroke.txt,5,3/2/2012,20:25:00,40942.85069
2012038,2012,PM,U203,2012-PM_U203_Kami_Depth+Temp+Kami.txt,5,5/25/2012,13:58:00,41054.58194
2012041,2012,PM,U458,2012-PM_U458_Kami_Depth+Temp+Kami.txt,5,5/28/2012,15:00:00,41057.625
2012037,2012,PM,U754,2012-PM_U754_Kami_Depth+Temp+Kami.txt,5,5/24/2012,14:20:00,41053.59722
2012038,2012,PM,U203,2012-PM_U203_Stroke_Depth+Stroke.txt,5,5/21/2012,14:30:00,41050.60417
2012041,2012,PM,U458,2012-PM_U458_Stroke_Depth+Stroke.txt,5,5/24/2012,15:09:00,41053.63125
